application_name,date,time_stamp,server_name,cpu_usage,memory_usage,disk_io,network_in,network_out,response_time_ms,error_rate,requests_per_minute
PortfolioPro,2025-06-06,06:11:55,srv-app02,49.18,15572.9,7.06,69.31,95.61,584.07,2.315,4876
OptionMaster,2025-06-06,06:21:55,srv-db01,85.73,13127.32,51.79,27.87,90.54,47.52,2.111,1143
CryptoFlow,2025-06-06,06:31:55,srv-db01,16.69,9395.68,81.87,10.71,81.38,486.73,0.243,206
CryptoFlow,2025-06-06,06:41:55,srv-app02,37.69,10303.13,82.19,48.39,57.01,307.52,1.008,3455
StockTraderPro,2025-06-06,06:51:55,srv-db01,64.69,6855.74,75.35,15.92,54.11,459.98,3.448,8836
FinTransact,2025-06-06,07:01:55,srv-web01,62.45,16274.52,23.62,23.39,77.83,573.58,0.858,4373
MarketAnalyzer,2025-06-06,07:11:55,srv-app01,16.14,8288.26,50.7,20.26,82.06,709.54,4.318,6153
RiskGuardian,2025-06-06,07:21:55,srv-db02,24.3,16043.73,45.34,46.7,61.34,314.71,0.405,7760
EquityInsight,2025-06-06,07:31:55,srv-app02,88.86,631.53,67.83,17.28,8.32,154.62,4.856,1679
TradeStream,2025-06-06,07:41:55,srv-app02,70.34,559.39,88.21,89.25,19.01,593.41,0.829,7882
BondWatch,2025-06-06,07:51:55,srv-web01,27.49,8661.57,42.1,26.49,56.19,338.24,2.507,2541
BondWatch,2025-06-06,08:01:55,srv-cache01,39.17,1895.64,32.11,67.2,87.06,576.53,0.554,2132
CryptoFlow,2025-06-06,08:11:55,srv-db02,63.96,10577.67,19.86,18.56,18.63,148.29,3.128,7827
StockTraderPro,2025-06-06,08:21:55,srv-db01,38.5,3954.62,72.06,7.2,3.85,478.83,2.686,3574
PortfolioPro,2025-06-06,08:31:55,srv-app02,51.95,11580.56,46.26,24.31,68.83,777.54,3.745,4895
FinTransact,2025-06-06,08:41:55,srv-db01,67.51,6924.33,96.63,95.55,83.25,223.62,3.959,7669
CryptoFlow,2025-06-06,08:51:55,srv-app02,90.27,11690.57,82.7,64.18,47.06,714.79,4.863,2530
ForexPulse,2025-06-06,09:01:55,srv-db02,16.54,6425.94,69.46,41.04,16.65,46.1,4.107,3469
OptionMaster,2025-06-06,09:11:55,srv-app01,78.34,1500.07,69.3,56.42,69.84,938.71,1.165,8460
CryptoFlow,2025-06-06,09:21:55,srv-cache01,14.94,6516.32,41.18,69.03,66.32,255.07,3.267,8525
MarketAnalyzer,2025-06-06,09:31:55,srv-app01,67.64,13726.82,74.6,38.76,3.16,35.95,4.067,2392
StockTraderPro,2025-06-06,09:41:55,srv-app02,27.26,3339.85,9.6,44.63,0.28,167.65,0.907,862
FinTransact,2025-06-06,09:51:55,srv-db02,51.73,9415.13,99.0,84.32,55.64,910.24,1.558,1173
StockTraderPro,2025-06-06,10:01:55,srv-db02,48.71,3391.39,69.68,46.26,41.86,300.39,1.622,1120
MarketAnalyzer,2025-06-06,10:11:55,srv-web01,72.05,15374.23,61.29,63.87,17.34,753.9,0.341,7435
RiskGuardian,2025-06-06,10:21:55,srv-db01,68.61,766.66,44.49,81.45,31.68,659.97,4.215,7142
EquityInsight,2025-06-06,10:31:55,srv-db02,42.76,9863.84,83.06,94.03,22.0,127.57,0.782,5672
TradeStream,2025-06-06,10:41:55,srv-app02,70.68,3094.94,61.39,11.5,12.2,856.35,4.638,2342
RiskGuardian,2025-06-06,10:51:55,srv-db02,69.6,13755.24,50.53,61.45,85.3,796.26,2.822,1308
OptionMaster,2025-06-06,11:01:55,srv-app01,47.45,2922.68,54.43,29.94,72.17,220.16,3.793,6032
MarketAnalyzer,2025-06-06,11:11:55,srv-db01,61.61,5191.06,83.63,13.14,46.63,362.2,1.538,3398
MarketAnalyzer,2025-06-06,11:21:55,srv-app01,46.87,733.61,74.33,56.1,44.46,982.19,2.348,1985
MarketAnalyzer,2025-06-06,11:31:55,srv-db02,85.01,4876.99,3.35,85.85,24.02,574.9,3.856,8680
RiskGuardian,2025-06-06,11:41:55,srv-db02,53.84,15594.02,68.31,45.71,3.27,805.28,1.147,528
PortfolioPro,2025-06-06,11:51:55,srv-db02,41.93,14550.76,29.61,32.59,10.17,145.22,3.862,550
EquityInsight,2025-06-06,12:01:55,srv-cache01,47.09,14085.34,53.95,96.86,16.01,392.02,4.48,6649
EquityInsight,2025-06-06,12:11:55,srv-app01,50.2,4516.67,3.84,9.86,80.02,52.09,0.747,9395
CryptoFlow,2025-06-06,12:21:55,srv-app02,73.19,15964.4,52.47,69.2,44.14,421.9,1.259,7255
CryptoFlow,2025-06-06,12:31:55,srv-db02,21.72,11556.97,26.18,76.92,21.46,707.08,1.521,8115
TradeStream,2025-06-06,12:41:55,srv-db02,27.66,7835.2,37.71,17.2,20.25,508.73,3.565,2113
BondWatch,2025-06-06,12:51:55,srv-db02,53.75,14649.13,90.58,13.66,95.73,758.24,3.203,2015
FinTransact,2025-06-06,13:01:55,srv-app02,75.79,11526.85,15.0,70.39,5.72,404.47,2.918,9106
ForexPulse,2025-06-06,13:11:55,srv-app02,81.1,11518.35,22.65,14.13,48.66,172.78,0.342,1556
CryptoFlow,2025-06-06,13:21:55,srv-web01,11.61,13162.89,46.16,51.49,10.24,491.76,3.112,3204
StockTraderPro,2025-06-06,13:31:55,srv-app01,66.95,11801.78,87.02,50.13,54.16,492.92,1.165,7090
StockTraderPro,2025-06-06,13:41:55,srv-app02,77.17,4266.69,5.62,68.77,64.51,321.93,1.697,3717
PortfolioPro,2025-06-06,13:51:55,srv-web01,55.1,2017.84,65.54,74.02,3.72,802.69,2.291,1282
RiskGuardian,2025-06-06,14:01:55,srv-web01,65.47,13712.08,98.04,11.08,69.0,465.92,3.901,6364
MarketAnalyzer,2025-06-06,14:11:55,srv-db02,47.99,4483.12,61.97,86.86,40.08,598.54,1.7,7595
MarketAnalyzer,2025-06-06,14:21:55,srv-db01,10.84,1754.09,48.63,83.57,88.07,363.39,3.475,5996
TradeStream,2025-06-06,14:31:55,srv-app01,75.03,3156.08,86.27,92.57,5.27,154.52,3.936,5227
CryptoFlow,2025-06-06,14:41:55,srv-db02,88.14,14020.47,88.2,69.06,55.32,802.75,3.346,3163
BondWatch,2025-06-06,14:51:55,srv-web01,32.09,13844.98,52.73,37.67,38.01,961.32,2.164,5242
MarketAnalyzer,2025-06-06,15:01:55,srv-db01,87.21,5218.19,11.46,48.74,17.37,95.2,3.603,4242
FinTransact,2025-06-06,15:11:55,srv-db02,87.04,5792.09,51.17,36.43,25.53,455.68,1.864,6728
BondWatch,2025-06-06,15:21:55,srv-web01,10.07,4796.65,4.09,48.23,67.92,805.04,4.761,6215
LoanLogic,2025-06-06,15:31:55,srv-app01,73.01,14230.5,26.52,82.24,70.03,281.68,2.425,7142
EquityInsight,2025-06-06,15:41:55,srv-app01,91.56,4890.59,84.92,21.69,29.53,772.42,0.389,9293
PortfolioPro,2025-06-06,15:51:55,srv-app02,24.49,6766.2,29.46,0.37,22.04,725.06,1.035,9854
MarketAnalyzer,2025-06-06,16:01:55,srv-web01,69.01,10159.62,11.02,64.95,25.44,971.31,3.028,3919
StockTraderPro,2025-06-06,16:11:55,srv-app02,67.98,16373.16,81.42,72.38,12.02,815.26,4.903,7884
ForexPulse,2025-06-06,16:21:55,srv-app02,39.14,9711.1,14.71,42.27,77.02,581.82,1.755,7644
RiskGuardian,2025-06-06,16:31:55,srv-app01,36.83,15378.11,4.8,4.1,48.05,238.64,3.324,2183
CryptoFlow,2025-06-06,16:41:55,srv-cache01,81.51,6825.88,79.14,86.35,19.71,463.27,4.144,450
ForexPulse,2025-06-06,16:51:55,srv-cache01,10.4,12243.34,43.97,64.03,34.69,393.87,4.021,8748
PortfolioPro,2025-06-06,17:01:55,srv-cache01,72.03,2100.53,73.71,51.09,68.48,106.98,2.71,9744
OptionMaster,2025-06-06,17:11:55,srv-app01,28.9,7368.59,41.86,48.64,48.65,600.43,2.408,9733
StockTraderPro,2025-06-06,17:21:55,srv-app01,56.49,14237.56,96.09,26.04,88.7,354.88,1.332,9875
TradeStream,2025-06-06,17:31:55,srv-app02,67.6,6779.53,5.08,1.85,29.78,481.15,1.095,3988
PortfolioPro,2025-06-06,17:41:55,srv-app01,60.68,3027.64,97.92,72.89,65.63,622.88,1.034,8005
PortfolioPro,2025-06-06,17:51:55,srv-app02,88.61,16235.32,10.41,33.71,6.71,958.8,0.149,9209
StockTraderPro,2025-06-06,18:01:55,srv-app02,68.62,13677.82,43.34,59.42,11.46,856.22,2.401,8474
RiskGuardian,2025-06-06,18:11:55,srv-cache01,94.68,14984.42,93.95,3.65,15.84,563.36,1.643,579
BondWatch,2025-06-06,18:21:55,srv-app02,15.37,8628.4,99.13,31.14,45.03,301.69,0.104,4257
EquityInsight,2025-06-06,18:31:55,srv-app01,49.54,10037.25,30.75,27.8,28.76,379.53,4.173,2358
LoanLogic,2025-06-06,18:41:55,srv-db01,62.64,16187.48,96.4,82.47,46.3,482.06,1.097,8589
RiskGuardian,2025-06-06,18:51:55,srv-app01,63.32,9013.8,75.99,86.6,25.63,364.7,0.833,9507
OptionMaster,2025-06-06,19:01:55,srv-cache01,15.94,6341.71,55.37,95.43,77.01,686.6,2.131,3424
OptionMaster,2025-06-06,19:11:55,srv-cache01,65.47,11188.09,81.52,49.08,96.7,216.33,1.717,1115
StockTraderPro,2025-06-06,19:21:55,srv-web01,68.78,4439.32,0.29,67.62,83.29,881.73,1.029,7467
CryptoFlow,2025-06-06,19:31:55,srv-app02,47.29,7488.78,90.94,88.01,46.22,62.24,2.94,3268
RiskGuardian,2025-06-06,19:41:55,srv-db02,53.2,2785.16,47.46,47.11,14.36,816.37,2.347,4343
ForexPulse,2025-06-06,19:51:55,srv-db01,65.09,5076.16,44.21,19.0,28.81,108.7,0.844,2922
EquityInsight,2025-06-06,20:01:55,srv-app02,17.8,1467.09,30.11,16.33,78.08,981.82,3.544,874
CryptoFlow,2025-06-06,20:11:55,srv-app01,93.65,12114.73,1.98,70.8,77.88,382.6,1.405,1254
ForexPulse,2025-06-06,20:21:55,srv-web01,58.04,8626.41,66.59,66.72,59.15,167.75,0.986,9480
RiskGuardian,2025-06-06,20:31:55,srv-db02,94.31,9301.62,8.44,94.39,32.33,48.54,3.234,6990
CryptoFlow,2025-06-06,20:41:55,srv-db01,53.15,12845.45,34.97,27.55,51.55,341.58,0.387,6780
BondWatch,2025-06-06,20:51:55,srv-app02,61.61,16049.85,38.62,70.17,60.87,380.08,2.306,6444
StockTraderPro,2025-06-06,21:01:55,srv-web01,68.86,7660.5,68.0,11.78,64.81,983.53,0.328,7226
RiskGuardian,2025-06-06,21:11:55,srv-db02,23.34,6830.64,22.04,17.75,35.51,867.7,4.45,5049
EquityInsight,2025-06-06,21:21:55,srv-cache01,68.16,15213.61,78.87,90.0,64.06,622.46,1.321,2285
FinTransact,2025-06-06,21:31:55,srv-cache01,57.93,4170.06,73.08,28.48,11.84,953.3,2.687,5202
RiskGuardian,2025-06-06,21:41:55,srv-db01,91.73,8342.75,37.05,1.32,10.79,32.57,3.458,4112
StockTraderPro,2025-06-06,21:51:55,srv-db02,59.08,16010.36,31.8,53.39,32.35,380.06,3.742,4676
OptionMaster,2025-06-06,22:01:55,srv-db01,81.85,12134.47,1.69,31.61,87.92,557.75,4.622,3808
MarketAnalyzer,2025-06-06,22:11:55,srv-app02,20.43,14915.48,94.98,33.08,54.59,124.38,0.838,6882
EquityInsight,2025-06-06,22:21:55,srv-app02,73.84,9357.77,57.3,88.48,40.53,282.85,0.038,4183
TradeStream,2025-06-06,22:31:55,srv-db01,18.81,3676.03,53.05,59.05,74.41,594.78,2.198,1891
RiskGuardian,2025-06-06,22:41:55,srv-app02,85.44,14344.0,14.11,59.18,15.92,211.02,4.81,3667
StockTraderPro,2025-06-06,22:51:55,srv-web01,40.74,15054.29,18.61,53.85,25.52,124.15,4.657,6030
RiskGuardian,2025-06-06,23:01:55,srv-db01,61.02,4193.78,34.41,47.27,63.47,956.45,4.671,209
LoanLogic,2025-06-06,23:11:55,srv-app01,39.78,11116.11,80.98,82.45,65.18,702.19,1.251,3189
EquityInsight,2025-06-06,23:21:55,srv-app01,58.59,4442.21,80.17,96.53,38.31,933.56,0.264,9096
BondWatch,2025-06-06,23:31:55,srv-db01,22.28,2897.3,6.02,93.17,33.27,37.62,4.686,2377
StockTraderPro,2025-06-06,23:41:55,srv-db02,35.93,14769.98,35.76,50.9,98.23,855.58,1.739,3068
CryptoFlow,2025-06-06,23:51:55,srv-db01,89.81,15129.26,60.73,73.42,34.3,60.22,1.792,8779
ForexPulse,2025-06-07,00:01:55,srv-app01,65.07,13303.43,38.89,30.34,33.76,909.71,4.945,849
CryptoFlow,2025-06-07,00:11:55,srv-web01,74.14,13610.5,50.01,84.63,61.71,862.7,0.438,483
StockTraderPro,2025-06-07,00:21:55,srv-db01,83.66,9013.97,50.92,56.76,5.68,885.6,4.324,7985
ForexPulse,2025-06-07,00:31:55,srv-app01,19.2,4074.17,58.67,76.1,34.75,820.29,1.661,6939
ForexPulse,2025-06-07,00:41:55,srv-cache01,41.4,4500.68,71.47,25.95,25.46,613.18,0.293,770
LoanLogic,2025-06-07,00:51:55,srv-app02,21.9,13253.37,17.03,59.21,46.06,639.09,0.776,2704
TradeStream,2025-06-07,01:01:55,srv-app02,58.1,7592.81,75.43,78.56,92.71,901.36,3.142,7759
MarketAnalyzer,2025-06-07,01:11:55,srv-cache01,36.94,3053.53,33.79,44.0,37.11,962.46,2.574,3398
StockTraderPro,2025-06-07,01:21:55,srv-web01,86.91,3076.07,53.64,5.58,93.66,930.5,3.147,7214
TradeStream,2025-06-07,01:31:55,srv-db02,69.77,13440.25,81.87,32.2,76.63,454.58,1.339,5203
OptionMaster,2025-06-07,01:41:55,srv-db01,85.49,554.12,21.0,69.32,68.31,140.85,0.174,5619
LoanLogic,2025-06-07,01:51:55,srv-web01,70.58,15061.55,70.51,70.86,36.57,901.95,0.24,4339
StockTraderPro,2025-06-07,02:01:55,srv-app01,90.41,11770.6,8.65,95.07,21.37,632.67,2.833,7301
MarketAnalyzer,2025-06-07,02:11:55,srv-db01,63.15,1985.6,76.17,45.96,25.12,450.84,4.651,8959
RiskGuardian,2025-06-07,02:21:55,srv-web01,64.68,1867.59,65.72,6.64,14.82,659.98,4.294,2511
LoanLogic,2025-06-07,02:31:55,srv-app01,57.9,867.79,12.99,96.23,5.06,863.81,1.3,4305
FinTransact,2025-06-07,02:41:55,srv-app02,65.76,6740.07,92.76,54.99,65.56,514.28,2.472,6095
BondWatch,2025-06-07,02:51:55,srv-app02,93.71,12731.29,27.11,92.09,55.5,210.82,3.902,5079
ForexPulse,2025-06-07,03:01:55,srv-db01,27.07,3115.68,92.93,57.52,29.64,398.8,3.009,1169
OptionMaster,2025-06-07,03:11:55,srv-web01,76.78,13204.41,51.11,21.78,72.23,635.54,0.347,969
MarketAnalyzer,2025-06-07,03:21:55,srv-app01,13.97,14709.65,29.91,99.49,89.17,739.44,2.469,2693
FinTransact,2025-06-07,03:31:55,srv-app02,82.88,6924.59,16.87,99.67,68.05,981.98,2.976,8997
ForexPulse,2025-06-07,03:41:55,srv-db01,18.4,10355.03,69.57,84.65,80.53,798.15,1.291,6022
PortfolioPro,2025-06-07,03:51:55,srv-cache01,24.45,4881.58,21.04,44.86,68.11,488.19,0.337,1259
BondWatch,2025-06-07,04:01:55,srv-db02,55.37,3469.47,20.76,47.22,90.27,833.36,1.195,2440
ForexPulse,2025-06-07,04:11:55,srv-db02,43.99,9333.96,29.32,98.43,80.71,39.75,1.813,359
EquityInsight,2025-06-07,04:21:55,srv-db02,36.3,10262.56,37.79,5.9,49.31,391.86,2.044,2725
MarketAnalyzer,2025-06-07,04:31:55,srv-cache01,27.3,12159.4,2.18,81.83,29.66,317.91,0.006,9892
BondWatch,2025-06-07,04:41:55,srv-db01,56.6,593.62,97.81,32.76,30.08,596.52,2.512,5569
OptionMaster,2025-06-07,04:51:55,srv-app01,19.47,3336.99,78.86,25.82,75.83,940.74,0.478,9082
BondWatch,2025-06-07,05:01:55,srv-app01,34.64,14056.9,41.06,50.91,12.44,293.78,1.065,4557
StockTraderPro,2025-06-07,05:11:55,srv-app02,90.93,15098.36,6.83,29.15,35.21,769.15,3.878,4376
EquityInsight,2025-06-07,05:21:55,srv-app01,56.41,3960.38,55.11,10.21,7.13,30.85,0.24,5684
CryptoFlow,2025-06-07,05:31:55,srv-web01,72.49,4900.5,28.32,57.05,29.26,299.42,4.04,8197
OptionMaster,2025-06-07,05:41:55,srv-cache01,38.17,8147.4,95.42,61.07,25.9,620.58,4.615,6859
BondWatch,2025-06-07,05:51:55,srv-app01,35.31,7100.21,94.24,21.84,32.1,543.72,4.776,5734
EquityInsight,2025-06-07,06:01:55,srv-db01,75.69,9698.96,24.64,7.41,59.96,464.84,0.403,4889
ForexPulse,2025-06-07,06:11:55,srv-db01,93.46,2248.16,73.66,50.5,69.05,409.14,2.04,2930
FinTransact,2025-06-07,06:21:55,srv-web01,72.49,5050.29,57.44,48.94,80.75,628.98,0.49,8548
OptionMaster,2025-06-07,06:31:55,srv-web01,34.88,5659.15,26.78,19.77,99.29,963.07,4.614,1764
TradeStream,2025-06-07,06:41:55,srv-app02,12.0,7430.08,1.9,3.85,70.85,262.31,3.692,1245
BondWatch,2025-06-07,06:51:55,srv-db01,37.15,9766.78,89.22,1.36,13.88,616.86,1.873,7067
MarketAnalyzer,2025-06-07,07:01:55,srv-db02,51.46,4935.42,79.93,22.46,38.14,540.82,0.937,7060
BondWatch,2025-06-07,07:11:55,srv-app01,41.97,6979.79,62.42,96.75,22.04,763.11,2.601,1589
LoanLogic,2025-06-07,07:21:55,srv-cache01,81.55,10221.32,91.95,17.62,80.4,744.11,3.525,8991
OptionMaster,2025-06-07,07:31:55,srv-db01,69.43,1482.68,11.29,63.88,1.74,977.74,0.307,5295
EquityInsight,2025-06-07,07:41:55,srv-db02,72.46,5979.92,41.0,99.77,69.24,447.48,1.893,9346
EquityInsight,2025-06-07,07:51:55,srv-app01,83.99,13242.33,37.95,62.71,76.21,779.88,4.855,3037
StockTraderPro,2025-06-07,08:01:55,srv-db02,18.04,3559.77,79.16,6.92,37.61,443.84,4.216,5796
PortfolioPro,2025-06-07,08:11:55,srv-web01,69.97,13558.55,80.85,71.97,9.24,180.79,3.888,42
FinTransact,2025-06-07,08:21:55,srv-app02,17.22,2809.53,30.44,21.53,31.45,205.68,1.832,4941
LoanLogic,2025-06-07,08:31:55,srv-db01,65.64,14425.75,47.51,21.4,70.26,122.55,3.904,4181
EquityInsight,2025-06-07,08:41:55,srv-cache01,40.85,3282.82,84.89,13.99,18.89,702.57,2.661,7986
CryptoFlow,2025-06-07,08:51:55,srv-cache01,24.16,3833.56,96.22,93.07,30.01,198.48,1.217,1813
ForexPulse,2025-06-07,09:01:55,srv-web01,89.87,16135.19,58.64,33.69,0.89,78.18,4.517,9237
OptionMaster,2025-06-07,09:11:55,srv-web01,55.09,15968.19,16.22,56.98,23.11,641.62,1.421,4573
FinTransact,2025-06-07,09:21:55,srv-db01,32.24,2305.29,41.34,2.12,80.39,873.76,3.247,8360
ForexPulse,2025-06-07,09:31:55,srv-db01,91.21,12369.46,55.03,40.29,53.97,315.3,2.976,2349
RiskGuardian,2025-06-07,09:41:55,srv-cache01,35.9,745.65,29.93,73.99,2.89,276.25,4.394,9432
LoanLogic,2025-06-07,09:51:55,srv-app01,27.7,11835.96,17.54,66.55,81.59,246.37,4.905,1009
MarketAnalyzer,2025-06-07,10:01:55,srv-web01,33.91,4690.9,11.15,5.35,14.85,292.84,2.347,368
StockTraderPro,2025-06-07,10:11:55,srv-db01,69.51,6663.95,33.5,28.33,6.49,744.76,4.787,7874
EquityInsight,2025-06-07,10:21:55,srv-app02,35.5,12608.22,7.5,28.37,42.54,380.59,3.146,3651
FinTransact,2025-06-07,10:31:55,srv-web01,17.57,3491.64,51.88,5.24,22.57,197.84,3.102,5761
EquityInsight,2025-06-07,10:41:55,srv-db02,26.9,2108.64,46.79,80.53,48.4,538.48,0.579,2885
ForexPulse,2025-06-07,10:51:55,srv-app01,26.69,9511.01,10.29,8.14,67.43,659.31,1.105,878
EquityInsight,2025-06-07,11:01:55,srv-app01,24.32,3740.05,43.68,0.28,1.35,801.61,4.84,9121
FinTransact,2025-06-07,11:11:55,srv-app02,28.27,14656.2,44.48,20.39,20.52,189.46,0.793,1091
EquityInsight,2025-06-07,11:21:55,srv-db02,87.53,3402.68,4.27,36.06,0.48,496.73,3.034,792
TradeStream,2025-06-07,11:31:55,srv-web01,54.23,14898.44,91.99,15.04,44.04,847.02,1.834,8631
EquityInsight,2025-06-07,11:41:55,srv-app02,45.99,15627.1,77.15,27.33,36.85,867.16,2.879,7052
EquityInsight,2025-06-07,11:51:55,srv-app01,51.23,8942.41,93.12,49.1,98.44,984.35,4.92,5252
EquityInsight,2025-06-07,12:01:55,srv-app01,44.18,6705.87,2.72,75.6,65.4,148.79,1.598,2474
PortfolioPro,2025-06-07,12:11:55,srv-cache01,82.31,14403.89,29.54,19.72,25.58,460.21,1.468,7941
MarketAnalyzer,2025-06-07,12:21:55,srv-cache01,27.18,7896.43,11.36,77.77,65.03,397.7,1.908,1351
RiskGuardian,2025-06-07,12:31:55,srv-app01,55.23,10730.09,90.43,1.76,37.24,276.66,3.225,3677
FinTransact,2025-06-07,12:41:55,srv-app02,64.82,13436.27,46.25,71.84,27.16,743.07,0.688,7275
ForexPulse,2025-06-07,12:51:55,srv-cache01,77.44,12971.52,84.77,40.67,59.92,961.3,1.066,8236
MarketAnalyzer,2025-06-07,13:01:55,srv-cache01,38.55,15203.95,36.3,0.88,72.32,618.88,3.984,4760
BondWatch,2025-06-07,13:11:55,srv-db01,44.68,5290.14,45.58,42.44,29.87,961.6,0.939,2251
TradeStream,2025-06-07,13:21:55,srv-db02,76.87,11839.28,52.61,58.22,41.84,575.86,1.756,7466
LoanLogic,2025-06-07,13:31:55,srv-db01,12.27,11267.72,70.77,95.82,19.06,296.65,1.901,9957
MarketAnalyzer,2025-06-07,13:41:55,srv-cache01,74.54,11367.5,49.86,64.44,46.06,370.27,2.571,5646
StockTraderPro,2025-06-07,13:51:55,srv-app02,68.09,12231.65,25.19,15.92,80.84,346.92,3.623,247
EquityInsight,2025-06-07,14:01:55,srv-cache01,55.29,1960.29,92.95,65.24,2.31,313.31,3.405,4963
ForexPulse,2025-06-07,14:11:55,srv-cache01,28.19,5793.02,32.37,86.77,80.41,571.24,1.414,396
ForexPulse,2025-06-07,14:21:55,srv-db02,60.49,9328.48,11.76,73.51,68.26,811.4,3.725,327
MarketAnalyzer,2025-06-07,14:31:55,srv-app01,32.37,14228.53,13.77,17.95,53.98,381.41,2.018,7553
CryptoFlow,2025-06-07,14:41:55,srv-web01,72.81,8784.09,57.04,7.2,16.87,170.86,1.91,1414
LoanLogic,2025-06-07,14:51:55,srv-db02,18.63,4748.88,70.31,22.86,0.98,897.05,2.2,4039
LoanLogic,2025-06-07,15:01:55,srv-app02,85.35,3401.92,5.07,92.45,9.55,79.03,3.774,1923
TradeStream,2025-06-07,15:11:55,srv-cache01,32.97,3582.02,2.64,75.92,32.81,63.12,0.446,8233
PortfolioPro,2025-06-07,15:21:55,srv-web01,78.2,7190.59,30.91,6.46,26.72,126.9,4.863,2729
LoanLogic,2025-06-07,15:31:55,srv-cache01,10.84,6032.07,79.62,1.35,4.66,470.11,3.046,4646
StockTraderPro,2025-06-07,15:41:55,srv-app01,87.46,11651.43,15.28,77.38,4.41,440.46,1.647,9400
MarketAnalyzer,2025-06-07,15:51:55,srv-app02,30.91,7495.77,69.43,62.5,4.08,295.71,0.896,5077
CryptoFlow,2025-06-07,16:01:55,srv-db02,79.14,12753.06,64.8,30.87,62.95,412.07,2.982,3289
LoanLogic,2025-06-07,16:11:55,srv-db02,56.96,4588.78,25.41,74.14,54.04,183.52,3.779,4562
ForexPulse,2025-06-07,16:21:55,srv-app01,59.33,4987.58,90.07,2.97,2.01,812.45,0.678,1168
ForexPulse,2025-06-07,16:31:55,srv-app01,92.13,2108.3,27.43,10.61,93.3,716.29,0.545,1055
OptionMaster,2025-06-07,16:41:55,srv-db02,77.32,3977.56,86.59,67.57,23.28,665.17,1.642,713
MarketAnalyzer,2025-06-07,16:51:55,srv-cache01,81.8,4701.49,17.46,93.71,42.6,822.72,0.221,7548
FinTransact,2025-06-07,17:01:55,srv-db02,38.57,11671.35,60.42,85.76,69.09,632.46,4.902,3562
PortfolioPro,2025-06-07,17:11:55,srv-app02,86.01,7360.26,15.41,19.25,67.82,550.57,2.481,522
MarketAnalyzer,2025-06-07,17:21:55,srv-cache01,28.68,12243.87,31.48,16.73,20.11,118.17,0.298,2372
TradeStream,2025-06-07,17:31:55,srv-db02,34.06,6695.78,19.59,46.59,18.16,502.74,0.912,9873
StockTraderPro,2025-06-07,17:41:55,srv-app01,71.72,1288.56,23.85,62.87,3.98,57.92,0.136,7657
LoanLogic,2025-06-07,17:51:55,srv-cache01,56.17,612.85,41.85,52.03,0.64,292.09,1.196,5237
RiskGuardian,2025-06-07,18:01:55,srv-app01,93.26,8192.23,79.84,15.5,4.71,320.43,4.836,3603
OptionMaster,2025-06-07,18:11:55,srv-app02,77.77,1928.15,50.53,33.88,33.63,557.87,4.553,320
MarketAnalyzer,2025-06-07,18:21:55,srv-web01,17.46,4966.14,40.95,38.9,40.44,369.09,4.296,6215
RiskGuardian,2025-06-07,18:31:55,srv-app01,47.62,5361.33,87.37,34.37,36.52,657.37,1.644,2167
TradeStream,2025-06-07,18:41:55,srv-cache01,48.81,10935.01,5.46,24.45,96.57,42.46,3.331,7718
EquityInsight,2025-06-07,18:51:55,srv-app01,20.36,887.08,29.67,28.91,84.7,590.08,1.555,9142
StockTraderPro,2025-06-07,19:01:55,srv-db02,36.18,658.39,71.14,83.74,28.57,537.13,2.727,4162
LoanLogic,2025-06-07,19:11:55,srv-cache01,93.07,6897.09,72.62,25.63,97.73,730.56,4.212,870
RiskGuardian,2025-06-07,19:21:55,srv-app02,24.68,8509.23,97.48,25.08,1.45,926.73,4.344,697
StockTraderPro,2025-06-07,19:31:55,srv-db01,14.44,2104.83,17.3,69.78,95.84,362.8,3.725,6374
LoanLogic,2025-06-07,19:41:55,srv-db01,90.15,1778.06,51.36,73.19,82.0,362.35,1.561,9358
OptionMaster,2025-06-07,19:51:55,srv-cache01,41.13,6385.59,14.31,22.28,85.04,857.78,2.298,7314
OptionMaster,2025-06-07,20:01:55,srv-db01,30.01,8659.83,83.06,74.89,88.09,101.29,2.716,3717
TradeStream,2025-06-07,20:11:55,srv-web01,69.87,12098.44,72.16,56.51,11.74,683.5,0.942,9994
OptionMaster,2025-06-07,20:21:55,srv-db01,87.92,15883.55,4.4,64.46,11.47,286.46,1.79,6812
TradeStream,2025-06-07,20:31:55,srv-app01,42.37,11748.92,57.48,58.49,98.28,711.41,2.744,7872
ForexPulse,2025-06-07,20:41:55,srv-app02,31.29,14015.92,7.06,12.3,35.18,600.8,2.957,7564
FinTransact,2025-06-07,20:51:55,srv-web01,73.95,16083.99,37.17,5.89,60.63,760.76,0.409,9570
LoanLogic,2025-06-07,21:01:55,srv-app02,84.02,11788.02,25.28,6.28,27.32,282.83,3.297,5503
RiskGuardian,2025-06-07,21:11:55,srv-app01,91.51,16093.15,33.42,31.23,70.34,411.15,1.068,9528
OptionMaster,2025-06-07,21:21:55,srv-db02,42.13,15906.91,35.51,62.92,68.92,791.19,3.125,9380
StockTraderPro,2025-06-07,21:31:55,srv-db02,86.06,13701.45,95.9,95.02,60.03,823.19,0.171,2903
LoanLogic,2025-06-07,21:41:55,srv-db02,80.79,1565.24,15.23,4.38,40.19,669.77,1.068,3049
